year;month;day;hora;marginalPT;marginalES;
2018;01;16;21;63.45;63.45;
2018;01;16;22;61.59;61.59;
2018;01;16;23;52.69;52.69;
2018;01;16;24;45.27;45.27;
2018;01;17;1;42.64;42.64;
2018;01;17;2;40;40;
2018;01;17;3;36.18;36.18;
2018;01;17;4;35.67;35.67;
2018;01;17;5;35.45;35.45;
2018;01;17;6;36.45;36.45;
2018;01;17;7;41.51;41.51;
2018;01;17;8;47.94;47.94;
2018;01;17;9;58.7;58.7;
2018;01;17;10;61.59;61.59;
2018;01;17;11;61.59;61.59;
2018;01;17;12;56.35;56.35;
2018;01;17;13;54.97;54.97;
2018;01;17;14;54.97;54.97;
2018;01;17;15;54.83;54.83;
2018;01;17;16;54.72;54.72;
2018;01;17;17;54.73;54.73;
2018;01;17;18;56.58;56.58;
2018;01;17;19;61.97;61.97;
2018;01;17;20;63.8;63.8;
2018;01;17;21;65.5;65.5;
2018;01;17;22;65.5;65.5;
2018;01;17;23;61.1;61.1;
2018;01;17;24;58.7;58.7;
2018;01;18;1;59.91;59.91;
2018;01;18;2;52;52;
2018;01;18;3;47.13;47.13;
2018;01;18;4;45.65;45.65;
2018;01;18;5;45.19;45.19;
2018;01;18;6;45.96;45.96;
2018;01;18;7;54.97;54.97;
2018;01;18;8;58.7;58.7;
2018;01;18;9;60.89;60.89;
2018;01;18;10;61.59;61.59;
2018;01;18;11;61.37;61.37;
2018;01;18;12;60.89;60.89;
2018;01;18;13;60.07;60.07;
2018;01;18;14;60.41;60.41;
2018;01;18;15;59.9;59.9;
2018;01;18;16;59.86;59.86;
2018;01;18;17;59.81;59.81;
2018;01;18;18;59.96;59.96;
2018;01;18;19;61.2;61.2;
2018;01;18;20;61.91;61.91;
2018;01;18;21;62.39;62.39;
2018;01;18;22;61.6;61.6;
2018;01;18;23;60.89;60.89;
2018;01;18;24;60.07;60.07;
2018;01;19;1;58.69;58.69;
2018;01;19;2;51.07;51.07;
2018;01;19;3;47.07;47.07;
2018;01;19;4;45.27;45.27;
2018;01;19;5;45.09;45.09;
2018;01;19;6;45.09;45.09;
2018;01;19;7;52;52;
2018;01;19;8;59.2;59.2;
2018;01;19;9;59.89;59.89;
2018;01;19;10;59.96;59.96;
2018;01;19;11;59.46;59.46;
2018;01;19;12;58.7;58.7;
2018;01;19;13;56.58;56.58;
2018;01;19;14;55.4;55.4;
2018;01;19;15;54.83;54.83;
2018;01;19;16;52.01;52.01;
2018;01;19;17;52;52;
2018;01;19;18;54.83;54.83;
2018;01;19;19;58.69;58.69;
2018;01;19;20;59.86;59.86;
2018;01;19;21;59.95;59.95;
2018;01;19;22;59.46;59.46;
2018;01;19;23;59.06;59.06;
2018;01;19;24;58.49;58.49;
2018;01;20;1;58.49;58.49;
2018;01;20;2;58.99;48.01;
2018;01;20;3;58.99;41.18;
2018;01;20;4;58.49;41.18;
2018;01;20;5;47;40;
2018;01;20;6;46.95;39.58;
2018;01;20;7;46.95;39.83;
2018;01;20;8;42.74;42.74;
2018;01;20;9;41.27;41.27;
2018;01;20;10;51;51;
2018;01;20;11;58.49;58.49;
2018;01;20;12;57.8;57.8;
2018;01;20;13;50.66;50.66;
2018;01;20;14;58.01;53.01;
2018;01;20;15;47;47;
2018;01;20;16;44.4;40.01;
2018;01;20;17;44.2;39.8;
2018;01;20;18;44.38;44.38;
2018;01;20;19;49.38;49.38;
