year;month;day;hora;marginalPT;marginalES
2018;05;16;17;56.4;56.4
2018;05;16;18;56.35;56.35
2018;05;16;19;55.23;55.23
2018;05;16;20;54.5;54.5
2018;05;16;21;56.4;56.4
2018;05;16;22;57.57;57.57
2018;05;16;23;55.72;55.72
2018;05;16;24;49.01;49.01
2018;05;17;1;48.02;48.02
2018;05;17;2;46;46
2018;05;17;3;44.44;44.44
2018;05;17;4;44.44;44.44
2018;05;17;5;44.88;44.88
2018;05;17;6;47.49;47.49
2018;05;17;7;50.79;50.79
2018;05;17;8;56.05;56.05
2018;05;17;9;57.03;57.03
2018;05;17;10;57.72;57.72
2018;05;17;11;56.97;56.97
2018;05;17;12;57.49;57.49
2018;05;17;13;58.45;58.45
2018;05;17;14;58.37;58.37
2018;05;17;15;57.46;57.46
2018;05;17;16;57.03;57.03
2018;05;17;17;57.12;57.12
2018;05;17;18;56.97;56.97
2018;05;17;19;56.69;56.69
2018;05;17;20;56.05;56.05
2018;05;17;21;56.69;56.69
2018;05;17;22;58.22;58.22
2018;05;17;23;56.79;56.79
2018;05;17;24;55;55
2018;05;18;1;55.11;55.11
2018;05;18;2;51.9;51.9
2018;05;18;3;49.84;49.84
2018;05;18;4;49.1;49.1
2018;05;18;5;49.93;49.93
2018;05;18;6;53.04;53.04
2018;05;18;7;57.06;57.06
2018;05;18;8;59.01;59.01
2018;05;18;9;59.69;59.69
2018;05;18;10;60;60
2018;05;18;11;59.63;59.63
2018;05;18;12;59.45;59.45
2018;05;18;13;59.45;59.45
2018;05;18;14;59.35;59.35
2018;05;18;15;59.01;59.01
2018;05;18;16;58.89;58.89
2018;05;18;17;59.21;59.21
2018;05;18;18;59.01;59.01
2018;05;18;19;59.01;59.01
2018;05;18;20;58.89;58.89
2018;05;18;21;59.45;59.45
2018;05;18;22;60.1;60.1
2018;05;18;23;59.52;59.52
2018;05;18;24;58;58
2018;05;19;1;61.3;61.3
2018;05;19;2;60.01;60.01
2018;05;19;3;59.63;59.63
2018;05;19;4;59.63;59.63
2018;05;19;5;59.59;59.59
2018;05;19;6;60.5;60.5
2018;05;19;7;60.01;60.01
2018;05;19;8;60.01;60.01
2018;05;19;9;59.63;59.63
2018;05;19;10;61.52;61.52
